2020-11-22 20:37:21,575 : 'a'
2020-11-22 20:37:22,374 : 'd'
2020-11-22 20:37:22,439 : 'a'
2020-11-22 20:37:22,450 : 's'
2020-11-22 20:37:22,584 : 'd'
2020-11-22 20:37:22,963 : 's'
2020-11-22 20:37:22,971 : 'a'
2020-11-22 20:37:23,062 : 'd'
2020-11-22 20:37:23,514 : 's'
2020-11-22 20:37:23,622 : 'd'
2020-11-22 20:37:24,039 : 's'
2020-11-22 20:37:24,375 : 'c'
2020-11-22 20:37:24,597 : 's'
2020-11-22 20:37:24,914 : 's'
2020-11-22 20:37:24,928 : 'a'
2020-11-22 20:37:24,997 : 'd'
2020-11-22 20:37:25,307 : Key.enter
2020-11-22 20:37:25,702 : 's'
2020-11-22 20:37:25,772 : 'd'
2020-11-22 20:37:25,865 : 'a'
2020-11-22 20:37:25,992 : 's'
2020-11-22 20:37:26,337 : Key.ctrl
2020-11-22 20:37:26,528 : 'c'
2020-11-22 20:38:12,021 : 'a'
2020-11-22 20:38:12,022 : 's'
2020-11-22 20:38:12,113 : 'd'
2020-11-22 20:38:12,205 : 's'
2020-11-22 20:38:12,384 : 'k'
2020-11-22 20:38:12,387 : 'j'
2020-11-22 20:38:12,471 : 'c'
2020-11-22 20:38:12,475 : 'x'
2020-11-22 20:38:12,521 : 'b'
2020-11-22 20:38:12,536 : 'v'
2020-11-22 20:38:12,660 : 'c'
2020-11-22 20:38:12,663 : 'x'
2020-11-22 20:38:12,694 : 'k'
2020-11-22 20:38:12,703 : 'j'
2020-11-22 20:38:12,883 : 'd'
2020-11-22 20:38:12,887 : 's'
2020-11-22 20:38:13,026 : 'u'
2020-11-22 20:38:13,028 : 'j'
2020-11-22 20:38:13,040 : 'i'
2020-11-22 20:38:13,146 : 'd'
2020-11-22 20:38:13,150 : 's'
2020-11-22 20:38:13,290 : 'o'
2020-11-22 20:38:13,332 : 'c'
2020-11-22 20:38:13,356 : 'v'
2020-11-22 20:38:13,359 : 'x'
2020-11-22 20:38:13,471 : 'i'
2020-11-22 20:38:13,475 : 'u'
